CSA2010,CSA2020
Allendale/Irvington/S. Hilton,Allendale/Irvington/S. Hilton
Beechfield/Ten Hills/West Hills,Beechfield/Ten Hills/West Hills
Belair-Edison,Belair-Edison
Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point
Canton,Canton
Cedonia/Frankford,Cedonia/Frankford
Cherry Hill,Cherry Hill
Chinquapin Park/Belvedere,Chinquapin Park/Belvedere
Claremont/Armistead,Orchard Ridge/Armistead
Clifton-Berea,Clifton-Berea
Cross-Country/Cheswolde,Cross-Country/Cheswolde
Dickeyville/Franklintown,Dickeyville/Franklintown
Dorchester/Ashburton,Dorchester/Ashburton
Downtown/Seton Hill,Downtown/Seton Hill
Edmondson Village,Edmondson Village
Fells Point,Fells Point
Forest Park/Walbrook,Forest Park/Walbrook
Glen-Fallstaff,Glen-Fallstaff
Greater Charles Village/Barclay,Greater Charles Village/Barclay
Greater Govans,Greater Govans
Greater Mondawmin,Greater Mondawmin
Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill
Greater Rosemont,Greater Rosemont
Greenmount East,Oliver/Johnston Square
Hamilton,Hamilton
Harbor East/Little Italy,Harbor East/Little Italy
Harford/Echodale,Hamilton Hills
Highlandtown,Highlandtown
Howard Park/West Arlington,Howard Park/West Arlington
Inner Harbor/Federal Hill,Inner Harbor/Federal Hill
Lauraville,Greater Lauraville
Loch Raven,Loch Raven
Madison/East End,Madison/East End
Medfield/Hampden/Woodberry/Remington,Hampden/Remington
Midtown,Midtown
Midway/Coldstream,Midway/Coldstream
Morrell Park/Violetville,Morrell Park/Violetville
Mount Washington/Coldspring,Mount Washington/Coldspring
North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland
Northwood,Northwood
Oldtown/Middle East,Oldtown/Middle East
Orangeville/East Highlandtown,Greektown/Bayview
Patterson Park North & East,Patterson Park North & East
Penn North/Reservoir Hill,Penn North/Reservoir Hill
Pimlico/Arlington/Hilltop,Pimlico/Arlington/Hilltop
Poppleton/The Terraces/Hollins Market,Poppleton/The Terraces/Hollins Market
Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park
South Baltimore,South Baltimore
Southeastern,Southeastern
Southern Park Heights,Southern Park Heights
Southwest Baltimore,Southwest Baltimore
The Waverlies,The Waverlies
Upton/Druid Heights,Upton/Druid Heights
Washington Village/Pigtown,Pigtown/Carroll Park
Westport/Mount Winans/Lakeland,Westport/Mount Winans/Lakeland
Baltimore City,Baltimore City
